x_left,x_right,x_center,PsSource_density,Native_Geant4_density,GATE_density
0.4500000000,0.4625000000,0.4562500000,0.9032,0.9264,0.932566621409
0.4625000000,0.4750000000,0.4687500000,0.945066666667,0.9464,0.960785879722
0.4750000000,0.4875000000,0.4812500000,0.992,0.9816,0.981018555493
0.4875000000,0.5000000000,0.4937500000,0.9992,0.978933333333,1.00018635359
0.5000000000,0.5125000000,0.5062500000,1.05413333333,1.02,0.988206479781
0.5125000000,0.5250000000,0.5187500000,1.08026666667,1.03306666667,1.05715730905
0.5250000000,0.5375000000,0.5312500000,1.08346666667,1.0944,1.04943694593
0.5375000000,0.5500000000,0.5437500000,1.10506666667,1.12026666667,1.1109336315
0.5500000000,0.5625000000,0.5562500000,1.09893333333,1.1224,1.13728935389
0.5625000000,0.5750000000,0.5687500000,1.1544,1.18826666667,1.17535873067
0.5750000000,0.5875000000,0.5812500000,1.1552,1.15466666667,1.14767191119
0.5875000000,0.6000000000,0.5937500000,1.2024,1.1704,1.2083699385
0.6000000000,0.6125000000,0.6062500000,1.20533333333,1.22266666667,1.21955115406
0.6125000000,0.6250000000,0.6187500000,1.23866666667,1.248,1.24617309587
0.6250000000,0.6375000000,0.6312500000,1.25413333333,1.25786666667,1.29462502995
0.6375000000,0.6500000000,0.6437500000,1.31653333333,1.2768,1.28850198333
0.6500000000,0.6625000000,0.6562500000,1.30906666667,1.3072,1.30074807656
0.6625000000,0.6750000000,0.6687500000,1.32933333333,1.33626666667,1.33349306498
0.6750000000,0.6875000000,0.6812500000,1.372,1.37973333333,1.35212842425
0.6875000000,0.7000000000,0.6937500000,1.36053333333,1.37413333333,1.38700316801
0.7000000000,0.7125000000,0.7062500000,1.39066666667,1.4392,1.39658706706
0.7125000000,0.7250000000,0.7187500000,1.4232,1.40586666667,1.42720230014
0.7250000000,0.7375000000,0.7312500000,1.46453333333,1.456,1.43226046908
0.7375000000,0.7500000000,0.7437500000,1.44693333333,1.49493333333,1.46607033517
0.7500000000,0.7625000000,0.7562500000,1.47146666667,1.48906666667,1.46394057983
0.7625000000,0.7750000000,0.7687500000,1.47466666667,1.5264,1.54620238
0.7750000000,0.7875000000,0.7812500000,1.55973333333,1.5032,1.56031200916
0.7875000000,0.8000000000,0.7937500000,1.59493333333,1.5544,1.56616883635
0.8000000000,0.8125000000,0.8062500000,1.56026666667,1.548,1.56057822858
0.8125000000,0.8250000000,0.8187500000,1.6296,1.5776,1.59199211991
0.8250000000,0.8375000000,0.8312500000,1.57786666667,1.6008,1.58773260922
0.8375000000,0.8500000000,0.8437500000,1.6352,1.616,1.67185794532
0.8500000000,0.8625000000,0.8562500000,1.66586666667,1.64693333333,1.64630088119
0.8625000000,0.8750000000,0.8687500000,1.67626666667,1.6832,1.65056039187
0.8750000000,0.8875000000,0.8812500000,1.7096,1.69146666667,1.72403695126
0.8875000000,0.9000000000,0.8937500000,1.7608,1.73173333333,1.74347096877
0.9000000000,0.9125000000,0.9062500000,1.7632,1.81573333333,1.81747996699
0.9125000000,0.9250000000,0.9187500000,1.81093333333,1.82346666667,1.80017570482
0.9250000000,0.9375000000,0.9312500000,1.83493333333,1.86106666667,1.85128983308
0.9375000000,0.9500000000,0.9437500000,1.86133333333,1.8968,1.89069030695
0.9500000000,0.9625000000,0.9562500000,1.9456,1.94533333333,1.90000798658
0.9625000000,0.9750000000,0.9687500000,2.0208,1.97146666667,1.99531453824
0.9750000000,0.9875000000,0.9812500000,2.0944,2.07973333333,2.07837499667
0.9875000000,1.0000000000,0.9937500000,2.204,2.22426666667,2.21175092511
