r1_low,r1_high,r1_center,r2_low,r2_high,r2_center,bin_area,observed_count,observed_probability,observed_density,expected_probability,expected_density,expected_count,standardized_residual
0.06,0.08,0.07,0.88,0.9,0.89,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.06,0.08,0.07,0.9,0.92,0.91,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.06,0.08,0.07,0.92,0.9400000000000001,0.93,0.00040000000000000045,45,0.00045,1.1249999999999987,0.0004146931980178802,1.0367329950446993,41.46931980178802,0.5482705591049124
0.06,0.08,0.07,0.9400000000000001,0.96,0.95,0.00039999999999999823,79,0.00079,1.9750000000000087,0.0007566018247735669,1.8915045619339257,75.66018247735668,0.38396270867036747
0.06,0.08,0.07,0.96,0.98,0.97,0.00040000000000000045,68,0.00068,1.6999999999999982,0.0007173971572572253,1.7934928931430612,71.73971572572253,-0.4415285233860369
0.06,0.08,0.07,0.98,1.0,0.99,0.00040000000000000045,77,0.00077,1.9249999999999978,0.0008210515223130435,2.0526288057826063,82.10515223130434,-0.5634086255669468
0.08,0.1,0.09,0.0,0.02,0.01,0.0004000000000000001,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.02,0.04,0.03,0.0004000000000000001,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.04,0.06,0.05,0.0004,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.06,0.08,0.07,0.0004000000000000002,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.08,0.1,0.09,0.0004000000000000002,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.1,0.12,0.11,0.00039999999999999986,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.12,0.14,0.13,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.14,0.16,0.15000000000000002,0.00039999999999999986,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.16,0.18,0.16999999999999998,0.00039999999999999986,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.18,0.2,0.19,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.2,0.22,0.21000000000000002,0.00039999999999999986,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.22,0.24,0.22999999999999998,0.00039999999999999986,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.24,0.26,0.25,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.26,0.28,0.27,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.28,0.3,0.29000000000000004,0.0003999999999999993,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.3,0.32,0.31,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.32,0.34,0.33,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.34,0.36,0.35,0.0003999999999999993,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.36,0.38,0.37,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.38,0.4,0.39,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.4,0.42,0.41000000000000003,0.0003999999999999993,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.42,0.44,0.43,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.44,0.46,0.45,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.46,0.48,0.47,0.0003999999999999993,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.48,0.5,0.49,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.5,0.52,0.51,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.52,0.54,0.53,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
0.08,0.1,0.09,0.54,0.56,0.55,0.00040000000000000045,0,0.0,0.0,0.0,0.0,0.0,
